,sentence,verb,embedded
362,My role is the MEDIUM.,CO,"[ 0.01455691  0.03924703  0.00414053 ... -0.04197167 -0.00341728
  0.01722032]"
363,My role is the BODYGUARD.,CO,"[ 0.00561092  0.04807365 -0.03024168 ... -0.02089247  0.01752452
 -0.01043925]"
364,My role is the WEREWOLF.,CO,"[-0.01068307  0.04513358 -0.02339906 ... -0.00109491 -0.00783152
  0.00789974]"
365,My role is the POSSESSED.,CO,"[-0.01933163  0.05365513 -0.04748888 ...  0.00708315  0.01051331
 -0.00737904]"
366,"Actually, I'm the VILLAGER.",CO,"[-0.01426492 -0.00515122 -0.05349014 ... -0.01666239  0.00078792
  0.02619898]"
367,"Actually, I'm the SEER.",CO,"[ 0.00222075 -0.02445436 -0.03472809 ... -0.0200812   0.00519716
 -0.00914828]"
368,"Actually, I'm the MEDIUM.",CO,"[ 0.01279968 -0.00727869 -0.00750028 ... -0.03172879 -0.00097744
  0.00681298]"
369,"Actually, I'm the BODYGUARD.",CO,"[ 0.01585246  0.01658392 -0.03044378 ... -0.01276898  0.01117996
 -0.01933319]"
370,"Actually, I'm the WEREWOLF.",CO,"[-0.00079377 -0.00168482 -0.0190998  ...  0.00458655 -0.0058158
  0.00298512]"
371,"Actually, I'm the POSSESSED.",CO,"[-0.0140601   0.00710571 -0.04610198 ...  0.0134296   0.01878883
 -0.02558559]"
372,I'm assigned the role of the VILLAGER.,CO,"[-3.41530140e-05  2.74633076e-02 -2.63361391e-02 ... -1.62220858e-02
  3.91462538e-03  1.38154291e-02]"
373,I'm assigned the role of the SEER.,CO,"[ 0.00805772  0.00993506 -0.01415405 ... -0.01892544  0.00310421
 -0.0029541 ]"
374,I'm assigned the role of the MEDIUM.,CO,"[ 0.01557996  0.03197293  0.02575033 ... -0.04283904  0.00425654
  0.00070405]"
375,I'm assigned the role of the BODYGUARD.,CO,"[ 0.01592644  0.0417232  -0.01383737 ... -0.02308897  0.02183698
 -0.02032295]"
376,I'm assigned the role of the WEREWOLF.,CO,"[-0.00386361  0.03088007 -0.00039549 ...  0.00212606  0.00067541
  0.00045012]"
377,I'm assigned the role of the POSSESSED.,CO,"[-0.01150928  0.04499017 -0.02765718 ...  0.00066571  0.01759473
 -0.02029938]"
378,I'm the VILLAGER in this game.,CO,"[-0.01476143  0.01369387 -0.03078813 ... -0.02423775  0.00102144
  0.03656091]"
379,I'm the SEER in this game.,CO,"[ 0.00025834  0.00218638 -0.01809888 ... -0.03650169  0.01629052
  0.01044751]"
380,I'm the MEDIUM in this game.,CO,"[ 0.01813354  0.01002499  0.01038069 ... -0.04741724  0.00741893
  0.03693492]"
381,I'm the BODYGUARD in this game.,CO,"[ 2.14792136e-02  3.02878059e-02 -1.13546206e-02 ... -2.09501684e-02
  1.10900989e-02 -9.46106502e-06]"
382,I'm the WEREWOLF in this game.,CO,"[-0.01014373  0.00732921 -0.00619895 ... -0.00468344  0.00147173
  0.02903668]"
383,I'm the POSSESSED in this game.,CO,"[-0.00973922  0.01939115 -0.03247239 ...  0.00674014  0.02412983
 -0.00178012]"
384,I'm actually the VILLAGER.,CO,"[-6.64432114e-03  3.58856865e-03 -5.25053106e-02 ... -1.35779865e-02
  4.27564992e-05  2.33027600e-02]"
385,I'm actually the SEER.,CO,"[ 0.00509672 -0.02817494 -0.03744324 ... -0.0218503   0.0041926
 -0.0070942 ]"
386,I'm actually the MEDIUM.,CO,"[ 0.02649753 -0.01094627 -0.01546067 ... -0.02470084  0.0069037
 -0.00373306]"
387,I'm actually the BODYGUARD.,CO,"[ 0.0152221   0.01155802 -0.03039031 ... -0.0117062   0.01171967
 -0.01706761]"
388,I'm actually the WEREWOLF.,CO,"[ 0.00346483 -0.00535981 -0.02398776 ...  0.00602321 -0.00095077
  0.00103042]"
389,I'm actually the POSSESSED.,CO,"[-0.00988733  0.00495684 -0.04468732 ...  0.0095448   0.02003815
 -0.02462282]"
390,I was given the position of VILLAGER.,CO,"[-0.00079491  0.01156874 -0.02403873 ... -0.04357117  0.0087018
  0.01802516]"
391,I was given the position of SEER.,CO,"[-0.00311779 -0.01884168 -0.0165519  ... -0.05093142  0.0100996
 -0.00736821]"
392,I was given the position of MEDIUM.,CO,"[ 0.01477694  0.01104399  0.02591873 ... -0.06054224  0.00580726
 -0.00161788]"
393,I was given the position of BODYGUARD.,CO,"[ 0.01001394  0.02005674 -0.01580009 ... -0.04683753  0.01872924
 -0.01359241]"
394,I was given the position of WEREWOLF.,CO,"[-0.00516394  0.01512007 -0.00613563 ... -0.02845872 -0.00139772
  0.00319664]"
395,I was given the position of POSSESSED.,CO,"[-0.01944858  0.02068293 -0.03287593 ... -0.02542466  0.01362304
 -0.01949374]"
396,I'm a normal VILLAGER.,CO,"[-0.00209925  0.02531032 -0.04576621 ... -0.01670986 -0.04270765
  0.02719035]"
397,I'm a normal SEER.,CO,"[ 0.01540737  0.00425709 -0.0297341  ... -0.02994696 -0.03250121
 -0.00604588]"
398,I'm a normal MEDIUM.,CO,"[ 0.04593794  0.01927082 -0.01175896 ... -0.02393685 -0.02052762
 -0.01100777]"
399,I'm a normal BODYGUARD.,CO,"[ 0.0361823   0.04230546 -0.01475125 ... -0.0181329  -0.01221848
 -0.00428969]"
400,I'm a normal WEREWOLF.,CO,"[ 0.01650945  0.02789303 -0.02146618 ...  0.00189781 -0.03739019
  0.00794899]"
401,I'm a normal POSSESSED.,CO,"[ 0.01146002  0.04283235 -0.03974107 ...  0.00360998 -0.01402216
 -0.02310106]"
402,I have gained the ability of VILLAGER.,CO,"[ 0.02832104  0.0297059  -0.01451815 ... -0.02638834  0.00179194
  0.02288815]"
403,I have gained the ability of SEER.,CO,"[ 0.02400831  0.00762517 -0.01134477 ... -0.02845492 -0.00067312
 -0.00127755]"
404,I have gained the ability of MEDIUM.,CO,"[ 0.04338103  0.02731278  0.03197355 ... -0.04109954 -0.00296391
  0.00422484]"
405,I have gained the ability of BODYGUARD.,CO,"[ 0.03477889  0.02429473  0.00663799 ... -0.02768055  0.01722609
 -0.01034308]"
406,I have gained the ability of WEREWOLF.,CO,"[ 0.01192048  0.03306838  0.00653434 ... -0.00263218 -0.00990242
  0.0127625 ]"
407,I have gained the ability of POSSESSED.,CO,"[-0.00111535  0.03719413 -0.01025945 ... -0.0028358   0.01109032
 -0.01660297]"
408,I am just a VILLAGER.,CO,"[-0.01290247  0.01788868 -0.01643468 ... -0.03128316 -0.02943261
  0.03019633]"
409,I am just a SEER.,CO,"[ 0.0007167  -0.00168432 -0.00635123 ... -0.04388566 -0.01296252
  0.00778158]"
410,I am just a MEDIUM.,CO,"[ 0.00982862  0.0084587   0.00093231 ... -0.05546357 -0.00756717
  0.02328136]"
411,I am just a BODYGUARD.,CO,"[ 0.01258207  0.03827969 -0.00219731 ... -0.02411022  0.00097179
 -0.00356514]"
412,I am just a WEREWOLF.,CO,"[ 0.00066452  0.00857426 -0.01881304 ... -0.01252912 -0.01602593
  0.01446462]"
413,I am just a POSSESSED.,CO,"[-0.01495546  0.02412213 -0.03057325 ... -0.00687501  0.00095624
 -0.01280288]"
414,"To tell you the truth, I am the VILLAGER.",CO,"[-0.00324332 -0.02643637 -0.05970294 ... -0.00280113 -0.00339639
  0.04149817]"
415,"To tell you the truth, I am the SEER.",CO,"[ 0.01170622 -0.05023986 -0.05076525 ... -0.00564788 -0.00083323
  0.00433032]"
416,"To tell you the truth, I am the MEDIUM.",CO,"[ 0.01338116 -0.0137898  -0.03241399 ... -0.02356248  0.00540579
  0.02733026]"
417,"To tell you the truth, I am the BODYGUARD.",CO,"[ 0.0258745  -0.00802546 -0.04741234 ...  0.00555634  0.01320829
 -0.00116267]"
418,"To tell you the truth, I am the WEREWOLF.",CO,"[ 0.00764392 -0.02521438 -0.03333721 ...  0.01794985 -0.01209718
  0.01987794]"
419,"To tell you the truth, I am the POSSESSED.",CO,"[-0.00831674 -0.00787566 -0.06290296 ...  0.02229731  0.01008749
 -0.01301529]"
420,Agent[00] is acting really shady.,SUSPECT,"[-0.07288639 -0.00182818 -0.01357389 ... -0.03403506  0.00202284
  0.02962013]"
421,Agent[01] is acting really shady.,SUSPECT,"[-0.07125814  0.00187424 -0.01119659 ... -0.02664367 -0.00637182
  0.02590921]"
422,Agent[02] is acting really shady.,SUSPECT,"[-0.06269379  0.00513494 -0.02242401 ... -0.02491556 -0.00520891
  0.03139361]"
423,Agent[03] is acting really shady.,SUSPECT,"[-0.06299295  0.005198   -0.00734969 ... -0.01795391  0.00666331
  0.03377927]"
424,Agent[04] is acting really shady.,SUSPECT,"[-0.06010369  0.01683332 -0.01380822 ... -0.03170607  0.0054222
  0.02853547]"
425,Agent[00] has been behaving quite strangely.,SUSPECT,"[-0.07238311  0.00582237  0.02803941 ... -0.03776938 -0.00513207
  0.01842449]"
426,Agent[01] has been behaving quite strangely.,SUSPECT,"[-0.07132126  0.0043215   0.02673723 ... -0.03189994 -0.0097976
  0.01517474]"
427,Agent[02] has been behaving quite strangely.,SUSPECT,"[-0.0674751   0.01040994  0.01944909 ... -0.03165718 -0.00899077
  0.02080375]"
428,Agent[03] has been behaving quite strangely.,SUSPECT,"[-0.06830547  0.0105547   0.03264835 ... -0.0242462   0.00271469
  0.02277383]"
429,Agent[04] has been behaving quite strangely.,SUSPECT,"[-0.06427342  0.01873279  0.02500975 ... -0.03668097  0.00087963
  0.01749048]"
430,There's something off about the way Agent[00] is acting.,SUSPECT,"[-0.03004758  0.02695488 -0.02786363 ... -0.0247123  -0.01835101
  0.00869914]"
431,There's something off about the way Agent[01] is acting.,SUSPECT,"[-0.03327368  0.02932886 -0.02601293 ... -0.01946682 -0.02518394
  0.00229042]"
432,There's something off about the way Agent[02] is acting.,SUSPECT,"[-0.02835537  0.02798821 -0.04027366 ... -0.01849877 -0.02279161
  0.00516836]"
433,There's something off about the way Agent[03] is acting.,SUSPECT,"[-0.03033875  0.02918593 -0.03182897 ... -0.01277939 -0.01143678
  0.00611203]"
434,There's something off about the way Agent[04] is acting.,SUSPECT,"[-0.02746869  0.03633543 -0.03513079 ... -0.02012876 -0.01602457
  0.00040009]"
435,I can't help but feel there's something fishy about Agent[00].,SUSPECT,"[-0.01885938 -0.00262928 -0.03790518 ... -0.03231261  0.00420219
  0.01690198]"
436,I can't help but feel there's something fishy about Agent[01].,SUSPECT,"[-0.02596981  0.00809754 -0.0347276  ... -0.0247252  -0.00692124
  0.00823415]"
437,I can't help but feel there's something fishy about Agent[02].,SUSPECT,"[-0.0196101   0.00906462 -0.05603312 ... -0.02234743 -0.00581497
  0.01127842]"
438,I can't help but feel there's something fishy about Agent[03].,SUSPECT,"[-0.02568743  0.00863181 -0.04127223 ... -0.02035384  0.00488046
  0.0117146 ]"
439,I can't help but feel there's something fishy about Agent[04].,SUSPECT,"[-0.01990559  0.01670755 -0.04698437 ... -0.02423939  0.0022659
  0.00734878]"
440,Agent[00]'s behavior is definitely out of the ordinary.,SUSPECT,"[-0.03052773  0.02011481 -0.02635624 ... -0.01870851 -0.01350204
  0.01379436]"
441,Agent[01]'s behavior is definitely out of the ordinary.,SUSPECT,"[-0.02915416  0.01253994 -0.02775908 ... -0.01338809 -0.0213385
  0.01308687]"
442,Agent[02]'s behavior is definitely out of the ordinary.,SUSPECT,"[-0.02021205  0.01326318 -0.04004806 ... -0.01215856 -0.0221079
  0.0174701 ]"
443,Agent[03]'s behavior is definitely out of the ordinary.,SUSPECT,"[-0.02139954  0.01402172 -0.02467514 ... -0.00405201 -0.01213671
  0.02056519]"
444,Agent[04]'s behavior is definitely out of the ordinary.,SUSPECT,"[-0.01879224  0.0249178  -0.03373677 ... -0.01757636 -0.01107372
  0.01477522]"
445,Agent[00]'s recent behavior is highly questionable.,SUSPECT,"[-0.04142589  0.01175077 -0.02182167 ... -0.02492945 -0.00635415
  0.02318237]"
446,Agent[01]'s recent behavior is highly questionable.,SUSPECT,"[-0.04236877  0.00872587 -0.01813933 ... -0.0200384  -0.01290872
  0.02347636]"
447,Agent[02]'s recent behavior is highly questionable.,SUSPECT,"[-0.03194674  0.00895968 -0.02854125 ... -0.01845452 -0.0150247
  0.02782772]"
448,Agent[03]'s recent behavior is highly questionable.,SUSPECT,"[-0.03300111  0.00952815 -0.01352151 ... -0.01038273 -0.00449652
  0.02923138]"
449,Agent[04]'s recent behavior is highly questionable.,SUSPECT,"[-0.03042218  0.02002594 -0.02259706 ... -0.02358717 -0.00296437
  0.02555144]"
450,Agent[00] cannot be trusted.,SUSPECT,"[-0.0449307   0.0129807  -0.00011355 ... -0.03057424  0.0074898
  0.02965167]"
451,Agent[01] cannot be trusted.,SUSPECT,"[-0.04289106  0.0132634   0.0002155  ... -0.02318137  0.00148336
  0.02635322]"
452,Agent[02] cannot be trusted.,SUSPECT,"[-0.03444229  0.01520757 -0.01047528 ... -0.02132664  0.00141616
  0.02927124]"
453,Agent[03] cannot be trusted.,SUSPECT,"[-0.03656292  0.01625711  0.00150561 ... -0.01725371  0.01253541
  0.03245193]"
454,Agent[04] cannot be trusted.,SUSPECT,"[-0.03318046  0.02785789 -0.00496851 ... -0.02815359  0.01135326
  0.02801352]"
455,What Agent[00] said is suspicious.,SUSPECT,"[-0.03683005  0.00461193 -0.01951077 ... -0.04320826 -0.00652539
  0.02726274]"
456,What Agent[01] said is suspicious.,SUSPECT,"[-0.03565457  0.00013803 -0.01779539 ... -0.03683455 -0.00935215
  0.02294585]"
457,What Agent[02] said is suspicious.,SUSPECT,"[-3.04002836e-02 -4.19318894e-05 -2.44513843e-02 ... -3.56621742e-02
 -9.40738153e-03  2.59659346e-02]"
458,What Agent[03] said is suspicious.,SUSPECT,"[-3.31320018e-02  7.20294395e-07 -1.44124208e-02 ... -3.32266651e-02
 -1.60236622e-03  2.65529323e-02]"
459,What Agent[04] said is suspicious.,SUSPECT,"[-0.03096868  0.00791992 -0.01609265 ... -0.03795243 -0.00238585
  0.02510675]"
460,Is Agent[00] really trustworthy?,SUSPECT,"[-0.02744433 -0.01718047 -0.00386481 ... -0.03531277 -0.01612553
  0.02769816]"
461,Is Agent[01] really trustworthy?,SUSPECT,"[-0.0317012  -0.01774075 -0.00035416 ... -0.02748169 -0.02065833
  0.02456411]"
462,Is Agent[02] really trustworthy?,SUSPECT,"[-0.02422069 -0.01422318 -0.01048322 ... -0.02412355 -0.01478175
  0.02925588]"
463,Is Agent[03] really trustworthy?,SUSPECT,"[-0.02302106 -0.01222893 -0.00406218 ... -0.02051877 -0.00407429
  0.02946244]"
464,Is Agent[04] really trustworthy?,SUSPECT,"[-0.02139819 -0.00247896 -0.00565639 ... -0.02735738 -0.00413227
  0.0247896 ]"
465,Agent[00]'s opinion is dubious.,SUSPECT,"[-0.03944242  0.02557899 -0.00675864 ... -0.01633967 -0.00782813
  0.02034249]"
466,Agent[01]'s opinion is dubious.,SUSPECT,"[-0.03444499  0.02057753 -0.00989304 ... -0.00704987 -0.01493419
  0.01901185]"
467,Agent[02]'s opinion is dubious.,SUSPECT,"[-0.02695587  0.02218991 -0.01873928 ... -0.00588912 -0.01511783
  0.02558928]"
468,Agent[03]'s opinion is dubious.,SUSPECT,"[-0.02873357  0.02388027 -0.0092028  ...  0.00214116 -0.0068979
  0.02828015]"
469,Agent[04]'s opinion is dubious.,SUSPECT,"[-0.02615584  0.03262322 -0.01584003 ... -0.01049265 -0.00566738
  0.02229899]"
470,I guess the questionable one is Agent[00].,SUSPECT,"[-0.02846434  0.00272252 -0.02772165 ... -0.05053511 -0.01125334
  0.02659147]"
471,I guess the questionable one is Agent[01].,SUSPECT,"[-0.03307489  0.01023053 -0.02748066 ... -0.04089147 -0.01069033
  0.0173191 ]"
472,I guess the questionable one is Agent[02].,SUSPECT,"[-0.03265857  0.00798253 -0.03651325 ... -0.03733275 -0.00777007
  0.02403865]"
473,I guess the questionable one is Agent[03].,SUSPECT,"[-0.03488633  0.007258   -0.02760961 ... -0.03440721  0.00178081
  0.02289322]"
474,I guess the questionable one is Agent[04].,SUSPECT,"[-0.03265898  0.01743203 -0.03465547 ... -0.0377247   0.00064951
  0.02044166]"
475,I choose Agent[00] for my vote.,VOTE,"[-0.01263562 -0.01830565  0.00323512 ... -0.04536021  0.01322244
  0.03092603]"
476,I choose Agent[01] for my vote.,VOTE,"[-0.02286486 -0.01871558  0.00970113 ... -0.03699286  0.01046086
  0.02382913]"
477,I choose Agent[02] for my vote.,VOTE,"[-0.01385089 -0.01717771 -0.00123125 ... -0.03699369  0.01090821
  0.03125329]"
478,I choose Agent[03] for my vote.,VOTE,"[-0.01790667 -0.01549644  0.01001798 ... -0.02954379  0.02600977
  0.0343051 ]"
479,I choose Agent[04] for my vote.,VOTE,"[-0.01492677 -0.00179132 -0.00359162 ... -0.03844469  0.02251227
  0.02554359]"
480,Agent[00] gets my vote.,VOTE,"[-0.04362302 -0.00092928 -0.01928828 ... -0.02176071  0.02281064
  0.02999083]"
481,Agent[01] gets my vote.,VOTE,"[-0.04346318  0.00253494 -0.02133557 ... -0.01478474  0.01943798
  0.02336517]"
482,Agent[02] gets my vote.,VOTE,"[-0.03592113  0.0054029  -0.03010891 ... -0.01488255  0.02046555
  0.02824246]"
483,Agent[03] gets my vote.,VOTE,"[-0.03915525  0.00455912 -0.01807291 ... -0.00889743  0.03148448
  0.02976715]"
484,Agent[04] gets my vote.,VOTE,"[-0.03308554  0.01625699 -0.02162155 ... -0.01990685  0.02960715
  0.02603078]"
485,My vote goes to Agent[00].,VOTE,"[-0.00629676 -0.0115381  -0.00219414 ... -0.02978957  0.0317893
  0.0370108 ]"
486,My vote goes to Agent[01].,VOTE,"[-0.00713225 -0.00661732  0.00380898 ... -0.02364999  0.02766713
  0.02809075]"
487,My vote goes to Agent[02].,VOTE,"[-0.00094717 -0.00847873 -0.01543319 ... -0.0263229   0.02972319
  0.03669963]"
488,My vote goes to Agent[03].,VOTE,"[-0.00546991 -0.01492743 -0.00037011 ... -0.02220819  0.04337094
  0.03461909]"
489,My vote goes to Agent[04].,VOTE,"[-0.00100114  0.00179213 -0.00891105 ... -0.03021821  0.04323484
  0.0299296 ]"
490,I believe Agent[00] should be voted out.,VOTE,"[-0.00831357  0.01971061 -0.00508994 ... -0.00231629  0.03803439
 -0.00402769]"
491,I believe Agent[01] should be voted out.,VOTE,"[-0.00884673  0.02152102 -0.00428976 ...  0.00152922  0.03590688
 -0.0077129 ]"
492,I believe Agent[02] should be voted out.,VOTE,"[-0.00439583  0.0232891  -0.01403136 ...  0.00053006  0.03697444
 -0.00329423]"
493,I believe Agent[03] should be voted out.,VOTE,"[-0.00733471  0.02312492 -0.00566419 ...  0.00574931  0.04772529
 -0.00156944]"
494,I believe Agent[04] should be voted out.,VOTE,"[-0.00319475  0.03494289 -0.01191106 ... -0.00090012  0.04617655
 -0.00837585]"
495,My choice is Agent[00].,VOTE,"[-0.03928987 -0.01643117  0.02421352 ... -0.03938439 -0.01216978
  0.0423776 ]"
496,My choice is Agent[01].,VOTE,"[-0.04859328 -0.02411234  0.02627784 ... -0.03231361 -0.00827806
  0.02982558]"
497,My choice is Agent[02].,VOTE,"[-0.03712278 -0.02226445  0.00977239 ... -0.03300485 -0.00332084
  0.03699986]"
498,My choice is Agent[03].,VOTE,"[-0.04057177 -0.02105024  0.02186045 ... -0.0286326   0.0065352
  0.0372392 ]"
499,My choice is Agent[04].,VOTE,"[-0.03470182 -0.00634326  0.01712301 ... -0.03685929  0.00895653
  0.0296424 ]"
500,I will vote Agent[00].,VOTE,"[-0.00893417  0.00646106 -0.00045311 ... -0.02694993  0.02177519
  0.02694993]"
501,I will vote Agent[01].,VOTE,"[-1.53084127e-02  4.53463476e-03  9.26848661e-05 ... -2.11116020e-02
  1.77669059e-02  2.07399689e-02]"
502,I will vote Agent[02].,VOTE,"[ 0.00055905 -0.00290685 -0.01170031 ... -0.02041175  0.02189889
  0.02621452]"
503,I will vote Agent[03].,VOTE,"[-0.00412244 -0.00407851  0.00169785 ... -0.01578684  0.03213016
  0.02592087]"
504,I will vote Agent[04].,VOTE,"[ 0.00312746  0.00791469 -0.00326155 ... -0.02300478  0.0332243
  0.02239596]"
505,I want to vote Agent[00].,VOTE,"[-0.00652171  0.00652542 -0.02776174 ... -0.0178606   0.01478502
  0.0275987 ]"
506,I want to vote Agent[01].,VOTE,"[-0.01295012  0.00458912 -0.02269045 ... -0.01773523  0.01113074
  0.02164024]"
507,I want to vote Agent[02].,VOTE,"[-0.00211333 -0.00061976 -0.04019375 ... -0.0183474   0.01637741
  0.02527178]"
508,I want to vote Agent[03].,VOTE,"[-0.00365066 -0.00024307 -0.03026193 ... -0.01312035  0.02741478
  0.02452361]"
509,I want to vote Agent[04].,VOTE,"[ 0.00101034  0.01124713 -0.03306175 ... -0.02038954  0.02820919
  0.01897177]"
510,Agent[00] should be exiled.,VOTE,"[-0.0440166   0.02063585  0.02579889 ... -0.01002382 -0.00258969
  0.017074  ]"
511,Agent[01] should be exiled.,VOTE,"[-0.04357918  0.0126697   0.02362175 ... -0.00786846 -0.0123916
  0.01194992]"
512,Agent[02] should be exiled.,VOTE,"[-0.03471448  0.01470925  0.01553271 ... -0.00500131 -0.00946171
  0.01771246]"
513,Agent[03] should be exiled.,VOTE,"[-0.0381267   0.01557242  0.02527301 ...  0.00374631  0.00474573
  0.02358385]"
514,Agent[04] should be exiled.,VOTE,"[-0.03268063  0.0261735   0.02061666 ... -0.01123447 -0.00071675
  0.01625978]"
515,I would put in Agent[00].,VOTE,"[-0.0505596  -0.00376559  0.0012542  ... -0.06335139 -0.00367165
  0.03466578]"
516,I would put in Agent[01].,VOTE,"[-0.06384851 -0.00084731  0.00319784 ... -0.05834219 -0.00478709
  0.02378852]"
517,I would put in Agent[02].,VOTE,"[-0.05715966 -0.00163845 -0.00599002 ... -0.06041698 -0.00306744
  0.03316826]"
518,I would put in Agent[03].,VOTE,"[-0.05866659 -0.00051345  0.01363191 ... -0.05333612  0.00842686
  0.03254726]"
519,I would put in Agent[04].,VOTE,"[-0.05256155  0.0144933   0.00311209 ... -0.06310496  0.01086998
  0.02660734]"
520,I would vote Agent[00].,VOTE,"[-0.02929047 -0.0012013  -0.0169975  ... -0.0291938   0.02084811
  0.02350649]"
521,I would vote Agent[01].,VOTE,"[-0.03694069 -0.00109585 -0.01237341 ... -0.02348216  0.01600347
  0.01669045]"
522,I would vote Agent[02].,VOTE,"[-0.02646992 -0.00674386 -0.0296408  ... -0.02438664  0.01861166
  0.02230336]"
523,I would vote Agent[03].,VOTE,"[-0.03164427 -0.00802594 -0.01710874 ... -0.02023334  0.02851967
  0.02073879]"
524,I would vote Agent[04].,VOTE,"[-0.01854041  0.00415508 -0.01546058 ... -0.02405492  0.03379362
  0.01781846]"
525,Planning to vote for Agent[00].,VOTE,"[ 0.0058007  -0.00256341  0.02193164 ... -0.02430553  0.01123384
  0.02297309]"
526,Planning to vote for Agent[01].,VOTE,"[ 0.00322512 -0.00427667  0.0223737  ... -0.01694348  0.00908746
  0.01491827]"
527,Planning to vote for Agent[02].,VOTE,"[ 0.00814481 -0.0111926   0.01423293 ... -0.01567858  0.00974695
  0.01861458]"
528,Planning to vote for Agent[03].,VOTE,"[ 0.00675406 -0.01012555  0.02459379 ... -0.01335303  0.02125554
  0.02062038]"
529,Planning to vote for Agent[04].,VOTE,"[ 0.00983912 -0.00089426  0.02555806 ... -0.01837817  0.02012143
  0.01551212]"
530,I would like to investigate Agent[00].,DIVINATION,"[-0.03969604  0.00529361 -0.00071225 ... -0.04079601 -0.01190558
  0.01742161]"
531,I would like to investigate Agent[01].,DIVINATION,"[-0.04854853  0.00801862  0.00166047 ... -0.03159087 -0.01110751
  0.01166912]"
532,I would like to investigate Agent[02].,DIVINATION,"[-0.04184578  0.00669831 -0.01196042 ... -0.03550456 -0.00849159
  0.01602571]"
533,I would like to investigate Agent[03].,DIVINATION,"[-0.04251304  0.00802214 -0.00043256 ... -0.03106963  0.00315282
  0.01641267]"
534,I would like to investigate Agent[04].,DIVINATION,"[-0.03670604  0.01899616 -0.00496081 ... -0.0376786   0.00442747
  0.01336476]"
535,My next target for divination is Agent[00].,DIVINATION,"[ 0.00549599  0.02455133  0.02579658 ... -0.02779512 -0.01834047
  0.022891  ]"
536,My next target for divination is Agent[01].,DIVINATION,"[ 0.00097973  0.02312694  0.0230377  ... -0.02323104 -0.02282948
  0.01641938]"
537,My next target for divination is Agent[02].,DIVINATION,"[ 0.00132346  0.02163761  0.01431572 ... -0.02215954 -0.01780517
  0.02183147]"
538,My next target for divination is Agent[03].,DIVINATION,"[-0.0023116   0.02384594  0.02419987 ... -0.01896468 -0.00956345
  0.02425886]"
539,My next target for divination is Agent[04].,DIVINATION,"[ 0.00247738  0.03154683  0.01507238 ... -0.02352868 -0.00820802
  0.01867981]"
540,Agent[00] is my choice for divination.,DIVINATION,"[-0.04222725  0.00843742  0.03403869 ... -0.02003787  0.00025113
  0.03930506]"
541,Agent[01] is my choice for divination.,DIVINATION,"[-0.04235329  0.00892954  0.03466396 ... -0.01475079 -0.00622432
  0.0383536 ]"
542,Agent[02] is my choice for divination.,DIVINATION,"[-0.03353234  0.01106101  0.02143896 ... -0.01293945 -0.0037297
  0.04294002]"
543,Agent[03] is my choice for divination.,DIVINATION,"[-0.03713053  0.01519047  0.03274406 ... -0.00589625  0.00574566
  0.0458108 ]"
544,Agent[04] is my choice for divination.,DIVINATION,"[-0.03167634  0.02092792  0.02897002 ... -0.01749887  0.00513972
  0.03924176]"
545,I intend to divine Agent[00].,DIVINATION,"[-0.0148024   0.01251692  0.02110182 ... -0.01462218 -0.01542497
  0.00684416]"
546,I intend to divine Agent[01].,DIVINATION,"[-0.01740486  0.01487705  0.02191306 ... -0.01158446 -0.01738876
  0.00371926]"
547,I intend to divine Agent[02].,DIVINATION,"[-0.01461858  0.01711955  0.0138925  ... -0.01121403 -0.01473153
  0.00497371]"
548,I intend to divine Agent[03].,DIVINATION,"[-0.01662404  0.01670404  0.01955205 ... -0.01004003 -0.00976803
  0.00750002]"
549,I intend to divine Agent[04].,DIVINATION,"[-0.01605284  0.02103865  0.01857394 ... -0.01481243 -0.00928697
  0.00609331]"
550,I'm going to focus my divination on Agent[00].,DIVINATION,"[ 0.00093463  0.01830865  0.03939874 ... -0.03221589 -0.00039066
  0.02477322]"
551,I'm going to focus my divination on Agent[01].,DIVINATION,"[-0.01063393  0.01850847  0.0357253  ... -0.02555372 -0.00193561
  0.01674715]"
552,I'm going to focus my divination on Agent[02].,DIVINATION,"[-1.31972146e-03  1.44277290e-02  2.43674852e-02 ... -2.52797939e-02
  5.23922536e-05  2.22485736e-02]"
553,I'm going to focus my divination on Agent[03].,DIVINATION,"[-0.00701122  0.01943904  0.03705567 ... -0.02017668  0.00812853
  0.02231729]"
554,I'm going to focus my divination on Agent[04].,DIVINATION,"[-0.00276849  0.02545289  0.03121878 ... -0.02847176  0.00766162
  0.01467941]"
555,I'm going to divine Agent[00] tonight.,DIVINATION,"[-0.03030961  0.02355215  0.02572924 ... -0.01590406 -0.01576269
 -0.00089195]"
556,I'm going to divine Agent[01] tonight.,DIVINATION,"[-0.03433658  0.02518575  0.02949532 ... -0.01125663 -0.01937904
 -0.00438302]"
557,I'm going to divine Agent[02] tonight.,DIVINATION,"[-0.03504218  0.02302692  0.01968161 ... -0.0128725  -0.01778593
 -0.00296548]"
558,I'm going to divine Agent[03] tonight.,DIVINATION,"[-0.03502976  0.02550751  0.02926956 ... -0.0088539  -0.01018371
 -0.00017818]"
559,I'm going to divine Agent[04] tonight.,DIVINATION,"[-0.03290622  0.03402771  0.02506945 ... -0.01574192 -0.01149529
 -0.00305504]"
560,I will divine Agent[00] next.,DIVINATION,"[-0.03092713  0.02576491  0.02581114 ... -0.01289786 -0.02474787
  0.01053248]"
