,sentence,Agent,Role,Team,embedded
337,Possibly  Agent[01] is a SEER.,Agent[01],SEER,,"[-0.03800495 -0.00637415 -0.00315508 ... -0.03480588 -0.00639414
  0.01448379]"
338,Possibly  Agent[01] is a MEDIUM.,Agent[01],MEDIUM,,"[-0.02085631  0.00537799  0.03677953 ... -0.0486439  -0.00273973
  0.02469661]"
339,Possibly  Agent[01] is a BODYGUARD.,Agent[01],BODYGUARD,,"[-0.02960779  0.01309303  0.01253453 ... -0.03780861  0.01082367
  0.0075999 ]"
340,Possibly  Agent[01] is a WEREWOLF.,Agent[01],WEREWOLF,,"[-0.0316034   0.01310471  0.00114781 ... -0.01884374 -0.01742131
  0.02256179]"
341,Possibly  Agent[01] is a POSSESSED.,Agent[01],POSSESSED,,"[-0.05626922  0.03101475 -0.02118254 ... -0.01380483  0.00590217
 -0.00026824]"
342,Possibly  Agent[02] is a VILLAGER.,Agent[02],VILLAGER,,"[-0.04143332  0.00655218 -0.0201866  ... -0.03666275 -0.00800249
  0.03857687]"
343,Possibly  Agent[02] is a SEER.,Agent[02],SEER,,"[-0.03278015 -0.00650215 -0.01406587 ... -0.03570753 -0.00481328
  0.01796635]"
344,Possibly  Agent[02] is a MEDIUM.,Agent[02],MEDIUM,,"[-0.01459294  0.00788252  0.02704352 ... -0.04890189  0.0018736
  0.02698142]"
345,Possibly  Agent[02] is a BODYGUARD.,Agent[02],BODYGUARD,,"[-0.02589044  0.01103562 -0.00334895 ... -0.03822058  0.01069947
  0.01242312]"
346,Possibly  Agent[02] is a WEREWOLF.,Agent[02],WEREWOLF,,"[-0.02716872  0.01257913 -0.00718807 ... -0.01854854 -0.01496827
  0.02752675]"
347,Possibly  Agent[02] is a POSSESSED.,Agent[02],POSSESSED,,"[-0.04795212  0.03238871 -0.03286543 ... -0.01134306  0.00443417
  0.00447974]"
348,Possibly  Agent[03] is a VILLAGER.,Agent[03],VILLAGER,,"[-0.04145778  0.0062525  -0.01358632 ... -0.03077703 -0.00168634
  0.0393687 ]"
349,Possibly  Agent[03] is a SEER.,Agent[03],SEER,,"[-0.03668147 -0.00786149 -0.00419828 ... -0.02951969  0.00561829
  0.01850537]"
350,Possibly  Agent[03] is a MEDIUM.,Agent[03],MEDIUM,,"[-0.01303124  0.00852222  0.03504955 ... -0.04459443  0.00963785
  0.02545818]"
351,Possibly  Agent[03] is a BODYGUARD.,Agent[03],BODYGUARD,,"[-0.0248955   0.01400282  0.00822684 ... -0.03313667  0.02104007
  0.01239042]"
352,Possibly  Agent[03] is a WEREWOLF.,Agent[03],WEREWOLF,,"[-0.02221462  0.01183229  0.00451405 ... -0.01319335 -0.00536215
  0.02837014]"
353,Possibly  Agent[03] is a POSSESSED.,Agent[03],POSSESSED,,"[-0.04596005  0.03287246 -0.02169638 ... -0.00693447  0.01421776
  0.00408115]"
354,Possibly  Agent[04] is a VILLAGER.,Agent[04],VILLAGER,,"[-0.04029813  0.0168345  -0.01777944 ... -0.03875715  0.0015637
  0.03352362]"
355,Possibly  Agent[04] is a SEER.,Agent[04],SEER,,"[-0.03306878 -0.00087179 -0.00479636 ... -0.03409657  0.00561207
  0.01465826]"
356,Possibly  Agent[04] is a MEDIUM.,Agent[04],MEDIUM,,"[-0.01081434  0.01334469  0.0355028  ... -0.04640278  0.00730299
  0.02097468]"
357,Possibly  Agent[04] is a BODYGUARD.,Agent[04],BODYGUARD,,"[-0.02176492  0.02327282  0.00091843 ... -0.04088391  0.01988716
  0.00668596]"
358,Possibly  Agent[04] is a WEREWOLF.,Agent[04],WEREWOLF,,"[-0.02333626  0.02443379 -0.00093462 ... -0.01868547 -0.0066675
  0.02351461]"
359,Possibly  Agent[04] is a POSSESSED.,Agent[04],POSSESSED,,"[-0.04315114  0.04220214 -0.02798125 ... -0.0136836   0.01202984
  0.00029176]"
360,My role is the VILLAGER.,,VILLAGER,,"[-0.00535484  0.03254235 -0.05423725 ... -0.02105681 -0.00390465
  0.02925041]"
361,My role is the SEER.,,SEER,,"[-0.00485243  0.00849669 -0.02732206 ... -0.01783041 -0.00222288
  0.00112526]"
362,My role is the MEDIUM.,,MEDIUM,,"[ 0.01455691  0.03924703  0.00414053 ... -0.04197167 -0.00341728
  0.01722032]"
363,My role is the BODYGUARD.,,BODYGUARD,,"[ 0.00561092  0.04807365 -0.03024168 ... -0.02089247  0.01752452
 -0.01043925]"
364,My role is the WEREWOLF.,,WEREWOLF,,"[-0.01068307  0.04513358 -0.02339906 ... -0.00109491 -0.00783152
  0.00789974]"
365,My role is the POSSESSED.,,POSSESSED,,"[-0.01933163  0.05365513 -0.04748888 ...  0.00708315  0.01051331
 -0.00737904]"
366,"Actually, I'm the VILLAGER.",,VILLAGER,,"[-0.01426492 -0.00515122 -0.05349014 ... -0.01666239  0.00078792
  0.02619898]"
367,"Actually, I'm the SEER.",,SEER,,"[ 0.00222075 -0.02445436 -0.03472809 ... -0.0200812   0.00519716
 -0.00914828]"
368,"Actually, I'm the MEDIUM.",,MEDIUM,,"[ 0.01281779 -0.0072842  -0.00754717 ... -0.03173641 -0.00096547
  0.00680334]"
369,"Actually, I'm the BODYGUARD.",,BODYGUARD,,"[ 0.01585246  0.01658392 -0.03044378 ... -0.01276898  0.01117996
 -0.01933319]"
370,"Actually, I'm the WEREWOLF.",,WEREWOLF,,"[-0.00079377 -0.00168482 -0.0190998  ...  0.00458655 -0.0058158
  0.00298512]"
371,"Actually, I'm the POSSESSED.",,POSSESSED,,"[-0.0140601   0.00710571 -0.04610198 ...  0.0134296   0.01878883
 -0.02558559]"
372,I'm assigned the role of the VILLAGER.,,VILLAGER,,"[-3.41530140e-05  2.74633076e-02 -2.63361391e-02 ... -1.62220858e-02
  3.91462538e-03  1.38154291e-02]"
373,I'm assigned the role of the SEER.,,SEER,,"[ 0.00808034  0.00991732 -0.01413558 ... -0.01892215  0.00309366
 -0.00292957]"
374,I'm assigned the role of the MEDIUM.,,MEDIUM,,"[ 0.01557996  0.03197293  0.02575033 ... -0.04283904  0.00425654
  0.00070405]"
375,I'm assigned the role of the BODYGUARD.,,BODYGUARD,,"[ 0.01592644  0.0417232  -0.01383737 ... -0.02308897  0.02183698
 -0.02032295]"
376,I'm assigned the role of the WEREWOLF.,,WEREWOLF,,"[-0.00388093  0.03084601 -0.0003862  ...  0.00211311  0.00068204
  0.00045792]"
377,I'm assigned the role of the POSSESSED.,,POSSESSED,,"[-0.01148755  0.04501955 -0.02761374 ...  0.00068616  0.01760939
 -0.0203286 ]"
378,I'm the VILLAGER in this game.,,VILLAGER,,"[-0.01476143  0.01369387 -0.03078813 ... -0.02423775  0.00102144
  0.03656091]"
379,I'm the SEER in this game.,,SEER,,"[ 0.00025834  0.00218638 -0.01809888 ... -0.03650169  0.01629052
  0.01044751]"
380,I'm the MEDIUM in this game.,,MEDIUM,,"[ 0.01813354  0.01002499  0.01038069 ... -0.04741724  0.00741893
  0.03693492]"
381,I'm the BODYGUARD in this game.,,BODYGUARD,,"[ 2.14792136e-02  3.02878059e-02 -1.13546206e-02 ... -2.09501684e-02
  1.10900989e-02 -9.46106502e-06]"
382,I'm the WEREWOLF in this game.,,WEREWOLF,,"[-0.01014373  0.00732921 -0.00619895 ... -0.00468344  0.00147173
  0.02903668]"
383,I'm the POSSESSED in this game.,,POSSESSED,,"[-0.00973514  0.01939544 -0.03245462 ...  0.00671669  0.02413516
 -0.00179766]"
384,I'm actually the VILLAGER.,,VILLAGER,,"[-6.64432114e-03  3.58856865e-03 -5.25053106e-02 ... -1.35779865e-02
  4.27564992e-05  2.33027600e-02]"
385,I'm actually the SEER.,,SEER,,"[ 0.00509672 -0.02817494 -0.03744324 ... -0.0218503   0.0041926
 -0.0070942 ]"
386,I'm actually the MEDIUM.,,MEDIUM,,"[ 0.02649753 -0.01094627 -0.01546067 ... -0.02470084  0.0069037
 -0.00373306]"
387,I'm actually the BODYGUARD.,,BODYGUARD,,"[ 0.0152221   0.01155802 -0.03039031 ... -0.0117062   0.01171967
 -0.01706761]"
388,I'm actually the WEREWOLF.,,WEREWOLF,,"[ 0.00346483 -0.00535981 -0.02398776 ...  0.00602321 -0.00095077
  0.00103042]"
389,I'm actually the POSSESSED.,,POSSESSED,,"[-0.00988733  0.00495684 -0.04468732 ...  0.0095448   0.02003815
 -0.02462282]"
390,I was given the position of VILLAGER.,,VILLAGER,,"[-0.00077298  0.01160635 -0.02403618 ... -0.04356655  0.00871642
  0.01805433]"
391,I was given the position of SEER.,,SEER,,"[-0.00318957 -0.01885933 -0.01656121 ... -0.0509022   0.01006758
 -0.00739325]"
392,I was given the position of MEDIUM.,,MEDIUM,,"[ 0.01475481  0.01102127  0.02598803 ... -0.06048657  0.00584079
 -0.00163037]"
393,I was given the position of BODYGUARD.,,BODYGUARD,,"[ 0.01001394  0.02005674 -0.01580009 ... -0.04683753  0.01872924
 -0.01359241]"
394,I was given the position of WEREWOLF.,,WEREWOLF,,"[-0.00516394  0.01512007 -0.00613563 ... -0.02845872 -0.00139772
  0.00319664]"
395,I was given the position of POSSESSED.,,POSSESSED,,"[-0.01944858  0.02068293 -0.03287593 ... -0.02542466  0.01362304
 -0.01949374]"
396,I'm a normal VILLAGER.,,VILLAGER,,"[-0.00206763  0.02533766 -0.04576492 ... -0.01670939 -0.04265033
  0.02723167]"
397,I'm a normal SEER.,,SEER,,"[ 0.01540737  0.00425709 -0.0297341  ... -0.02994696 -0.03250121
 -0.00604588]"
398,I'm a normal MEDIUM.,,MEDIUM,,"[ 0.04561727  0.01937073 -0.01302216 ... -0.02380534 -0.02072856
 -0.01129598]"
399,I'm a normal BODYGUARD.,,BODYGUARD,,"[ 0.0361823   0.04230546 -0.01475125 ... -0.0181329  -0.01221848
 -0.00428969]"
400,I'm a normal WEREWOLF.,,WEREWOLF,,"[ 0.01650945  0.02789303 -0.02146618 ...  0.00189781 -0.03739019
  0.00794899]"
401,I'm a normal POSSESSED.,,POSSESSED,,"[ 0.01146002  0.04283235 -0.03974107 ...  0.00360998 -0.01402216
 -0.02310106]"
402,I have gained the ability of VILLAGER.,,VILLAGER,,"[ 0.02834554  0.02965473 -0.0145229  ... -0.0263513   0.00177445
  0.02289564]"
403,I have gained the ability of SEER.,,SEER,,"[ 0.02400831  0.00762517 -0.01134477 ... -0.02845492 -0.00067312
 -0.00127755]"
404,I have gained the ability of MEDIUM.,,MEDIUM,,"[ 0.04338103  0.02731278  0.03197355 ... -0.04109954 -0.00296391
  0.00422484]"
405,I have gained the ability of BODYGUARD.,,BODYGUARD,,"[ 0.03477889  0.02429473  0.00663799 ... -0.02768055  0.01722609
 -0.01034308]"
406,I have gained the ability of WEREWOLF.,,WEREWOLF,,"[ 0.01192048  0.03306838  0.00653434 ... -0.00263218 -0.00990242
  0.0127625 ]"
407,I have gained the ability of POSSESSED.,,POSSESSED,,"[-0.00111535  0.03719413 -0.01025945 ... -0.0028358   0.01109032
 -0.01660297]"
408,I am just a VILLAGER.,,VILLAGER,,"[-0.01289411  0.01788727 -0.01643337 ... -0.03125132 -0.02945965
  0.03019394]"
409,I am just a SEER.,,SEER,,"[ 0.0007167  -0.00168432 -0.00635123 ... -0.04388566 -0.01296252
  0.00778158]"
410,I am just a MEDIUM.,,MEDIUM,,"[ 0.00982862  0.0084587   0.00093231 ... -0.05546357 -0.00756717
  0.02328136]"
411,I am just a BODYGUARD.,,BODYGUARD,,"[ 0.01258207  0.03827969 -0.00219731 ... -0.02411022  0.00097179
 -0.00356514]"
412,I am just a WEREWOLF.,,WEREWOLF,,"[ 0.00116075  0.00831229 -0.01948778 ... -0.01253615 -0.01618608
  0.01450943]"
413,I am just a POSSESSED.,,POSSESSED,,"[-0.01501874  0.0240909  -0.03062021 ... -0.00687366  0.00094695
 -0.01280698]"
414,"To tell you the truth, I am the VILLAGER.",,VILLAGER,,"[-0.00324332 -0.02643637 -0.05970294 ... -0.00280113 -0.00339639
  0.04149817]"
415,"To tell you the truth, I am the SEER.",,SEER,,"[ 0.01174545 -0.05019926 -0.0507574  ... -0.0056429  -0.00085157
  0.00436658]"
416,"To tell you the truth, I am the MEDIUM.",,MEDIUM,,"[ 0.01338116 -0.0137898  -0.03241399 ... -0.02356248  0.00540579
  0.02733026]"
417,"To tell you the truth, I am the BODYGUARD.",,BODYGUARD,,"[ 0.0258745  -0.00802546 -0.04741234 ...  0.00555634  0.01320829
 -0.00116267]"
418,"To tell you the truth, I am the WEREWOLF.",,WEREWOLF,,"[ 0.00764392 -0.02521438 -0.03333721 ...  0.01794985 -0.01209718
  0.01987794]"
419,"To tell you the truth, I am the POSSESSED.",,POSSESSED,,"[-0.00831674 -0.00787566 -0.06290296 ...  0.02229731  0.01008749
 -0.01301529]"
420,Agent[00] is acting really shady.,Agent[00],,,"[-0.07282812 -0.00183134 -0.01356697 ... -0.03403784  0.00198788
  0.02962255]"
421,Agent[01] is acting really shady.,Agent[01],,,"[-0.07125814  0.00187424 -0.01119659 ... -0.02664367 -0.00637182
  0.02590921]"
422,Agent[02] is acting really shady.,Agent[02],,,"[-0.06268988  0.00512684 -0.02239147 ... -0.02491401 -0.00521248
  0.03137608]"
423,Agent[03] is acting really shady.,Agent[03],,,"[-0.06299295  0.005198   -0.00734969 ... -0.01795391  0.00666331
  0.03377927]"
424,Agent[04] is acting really shady.,Agent[04],,,"[-0.06010369  0.01683332 -0.01380822 ... -0.03170607  0.0054222
  0.02853547]"
425,Agent[00] has been behaving quite strangely.,Agent[00],,,"[-0.07238311  0.00582237  0.02803941 ... -0.03776938 -0.00513207
  0.01842449]"
426,Agent[01] has been behaving quite strangely.,Agent[01],,,"[-0.07132126  0.0043215   0.02673723 ... -0.03189994 -0.0097976
  0.01517474]"
427,Agent[02] has been behaving quite strangely.,Agent[02],,,"[-0.0674751   0.01040994  0.01944909 ... -0.03165718 -0.00899077
  0.02080375]"
428,Agent[03] has been behaving quite strangely.,Agent[03],,,"[-0.06830547  0.0105547   0.03264835 ... -0.0242462   0.00271469
  0.02277383]"
429,Agent[04] has been behaving quite strangely.,Agent[04],,,"[-0.06427747  0.01870128  0.02499498 ... -0.03668328  0.000871
  0.01749158]"
430,There's something off about the way Agent[00] is acting.,Agent[00],,,"[-0.03004758  0.02695488 -0.02786363 ... -0.0247123  -0.01835101
  0.00869914]"
431,There's something off about the way Agent[01] is acting.,Agent[01],,,"[-0.03327368  0.02932886 -0.02601293 ... -0.01946682 -0.02518394
  0.00229042]"
432,There's something off about the way Agent[02] is acting.,Agent[02],,,"[-0.02835537  0.02798821 -0.04027366 ... -0.01849877 -0.02279161
  0.00516836]"
433,There's something off about the way Agent[03] is acting.,Agent[03],,,"[-0.03033875  0.02918593 -0.03182897 ... -0.01277939 -0.01143678
  0.00611203]"
434,There's something off about the way Agent[04] is acting.,Agent[04],,,"[-0.02743391  0.03635448 -0.03512213 ... -0.02015181 -0.01602062
  0.00040874]"
435,I can't help but feel there's something fishy about Agent[00].,Agent[00],,,"[-0.01885938 -0.00262928 -0.03790518 ... -0.03231261  0.00420219
  0.01690198]"
436,I can't help but feel there's something fishy about Agent[01].,Agent[01],,,"[-0.02596981  0.00809754 -0.0347276  ... -0.0247252  -0.00692124
  0.00823415]"
437,I can't help but feel there's something fishy about Agent[02].,Agent[02],,,"[-0.0196101   0.00906462 -0.05603312 ... -0.02234743 -0.00581497
  0.01127842]"
438,I can't help but feel there's something fishy about Agent[03].,Agent[03],,,"[-0.02568743  0.00863181 -0.04127223 ... -0.02035384  0.00488046
  0.0117146 ]"
439,I can't help but feel there's something fishy about Agent[04].,Agent[04],,,"[-0.01990559  0.01670755 -0.04698437 ... -0.02423939  0.0022659
  0.00734878]"
440,Agent[00]'s behavior is definitely out of the ordinary.,Agent[00],,,"[-0.03052773  0.02011481 -0.02635624 ... -0.01870851 -0.01350204
  0.01379436]"
441,Agent[01]'s behavior is definitely out of the ordinary.,Agent[01],,,"[-0.02915416  0.01253994 -0.02775908 ... -0.01338809 -0.0213385
  0.01308687]"
442,Agent[02]'s behavior is definitely out of the ordinary.,Agent[02],,,"[-0.02021205  0.01326318 -0.04004806 ... -0.01215856 -0.0221079
  0.0174701 ]"
443,Agent[03]'s behavior is definitely out of the ordinary.,Agent[03],,,"[-0.02139954  0.01402172 -0.02467514 ... -0.00405201 -0.01213671
  0.02056519]"
444,Agent[04]'s behavior is definitely out of the ordinary.,Agent[04],,,"[-0.01879224  0.0249178  -0.03373677 ... -0.01757636 -0.01107372
  0.01477522]"
445,Agent[00]'s recent behavior is highly questionable.,Agent[00],,,"[-0.04142589  0.01175077 -0.02182167 ... -0.02492945 -0.00635415
  0.02318237]"
446,Agent[01]'s recent behavior is highly questionable.,Agent[01],,,"[-0.04236877  0.00872587 -0.01813933 ... -0.0200384  -0.01290872
  0.02347636]"
447,Agent[02]'s recent behavior is highly questionable.,Agent[02],,,"[-0.03194674  0.00895968 -0.02854125 ... -0.01845452 -0.0150247
  0.02782772]"
448,Agent[03]'s recent behavior is highly questionable.,Agent[03],,,"[-0.03300111  0.00952815 -0.01352151 ... -0.01038273 -0.00449652
  0.02923138]"
449,Agent[04]'s recent behavior is highly questionable.,Agent[04],,,"[-0.03042218  0.02002594 -0.02259706 ... -0.02358717 -0.00296437
  0.02555144]"
450,Agent[00] cannot be trusted.,Agent[00],,,"[-0.0449307   0.0129807  -0.00011355 ... -0.03057424  0.0074898
  0.02965167]"
451,Agent[01] cannot be trusted.,Agent[01],,,"[-0.04289106  0.0132634   0.0002155  ... -0.02318137  0.00148336
  0.02635322]"
452,Agent[02] cannot be trusted.,Agent[02],,,"[-0.03444229  0.01520757 -0.01047528 ... -0.02132664  0.00141616
  0.02927124]"
453,Agent[03] cannot be trusted.,Agent[03],,,"[-0.03656292  0.01625711  0.00150561 ... -0.01725371  0.01253541
  0.03245193]"
454,Agent[04] cannot be trusted.,Agent[04],,,"[-0.03320998  0.02782542 -0.00491769 ... -0.02818335  0.01137605
  0.02801217]"
455,What Agent[00] said is suspicious.,Agent[00],,,"[-0.03683005  0.00461193 -0.01951077 ... -0.04320826 -0.00652539
  0.02726274]"
456,What Agent[01] said is suspicious.,Agent[01],,,"[-0.03565457  0.00013803 -0.01779539 ... -0.03683455 -0.00935215
  0.02294585]"
457,What Agent[02] said is suspicious.,Agent[02],,,"[-3.04002836e-02 -4.19318894e-05 -2.44513843e-02 ... -3.56621742e-02
 -9.40738153e-03  2.59659346e-02]"
458,What Agent[03] said is suspicious.,Agent[03],,,"[-3.31320018e-02  7.20294395e-07 -1.44124208e-02 ... -3.32266651e-02
 -1.60236622e-03  2.65529323e-02]"
459,What Agent[04] said is suspicious.,Agent[04],,,"[-0.03096868  0.00791992 -0.01609265 ... -0.03795243 -0.00238585
  0.02510675]"
460,Is Agent[00] really trustworthy?,Agent[00],,,"[-0.02744486 -0.01721253 -0.0038629  ... -0.03534517 -0.01611791
  0.02773041]"
461,Is Agent[01] really trustworthy?,Agent[01],,,"[-0.0317012  -0.01774075 -0.00035416 ... -0.02748169 -0.02065833
  0.02456411]"
462,Is Agent[02] really trustworthy?,Agent[02],,,"[-0.02422069 -0.01422318 -0.01048322 ... -0.02412355 -0.01478175
  0.02925588]"
463,Is Agent[03] really trustworthy?,Agent[03],,,"[-0.02305408 -0.01222932 -0.00403608 ... -0.02053557 -0.00406635
  0.02944723]"
464,Is Agent[04] really trustworthy?,Agent[04],,,"[-0.02139819 -0.00247896 -0.00565639 ... -0.02735738 -0.00413227
  0.0247896 ]"
465,Agent[00]'s opinion is dubious.,Agent[00],,,"[-0.03944242  0.02557899 -0.00675864 ... -0.01633967 -0.00782813
  0.02034249]"
466,Agent[01]'s opinion is dubious.,Agent[01],,,"[-0.03444499  0.02057753 -0.00989304 ... -0.00704987 -0.01493419
  0.01901185]"
467,Agent[02]'s opinion is dubious.,Agent[02],,,"[-0.02695587  0.02218991 -0.01873928 ... -0.00588912 -0.01511783
  0.02558928]"
468,Agent[03]'s opinion is dubious.,Agent[03],,,"[-0.02873357  0.02388027 -0.0092028  ...  0.00214116 -0.0068979
  0.02828015]"
469,Agent[04]'s opinion is dubious.,Agent[04],,,"[-0.02615584  0.03262322 -0.01584003 ... -0.01049265 -0.00566738
  0.02229899]"
470,I guess the questionable one is Agent[00].,Agent[00],,,"[-0.02846434  0.00272252 -0.02772165 ... -0.05053511 -0.01125334
  0.02659147]"
471,I guess the questionable one is Agent[01].,Agent[01],,,"[-0.03307489  0.01023053 -0.02748066 ... -0.04089147 -0.01069033
  0.0173191 ]"
472,I guess the questionable one is Agent[02].,Agent[02],,,"[-0.03265857  0.00798253 -0.03651325 ... -0.03733275 -0.00777007
  0.02403865]"
473,I guess the questionable one is Agent[03].,Agent[03],,,"[-0.03488633  0.007258   -0.02760961 ... -0.03440721  0.00178081
  0.02289322]"
474,I guess the questionable one is Agent[04].,Agent[04],,,"[-0.03265898  0.01743203 -0.03465547 ... -0.0377247   0.00064951
  0.02044166]"
475,I choose Agent[00] for my vote.,Agent[00],,,"[-0.01263562 -0.01830565  0.00323512 ... -0.04536021  0.01322244
  0.03092603]"
476,I choose Agent[01] for my vote.,Agent[01],,,"[-0.02286486 -0.01871558  0.00970113 ... -0.03699286  0.01046086
  0.02382913]"
477,I choose Agent[02] for my vote.,Agent[02],,,"[-0.01385089 -0.01717771 -0.00123125 ... -0.03699369  0.01090821
  0.03125329]"
478,I choose Agent[03] for my vote.,Agent[03],,,"[-0.01790667 -0.01549644  0.01001798 ... -0.02954379  0.02600977
  0.0343051 ]"
479,I choose Agent[04] for my vote.,Agent[04],,,"[-0.01491362 -0.0017771  -0.00360628 ... -0.0384191   0.02254285
  0.02556005]"
480,Agent[00] gets my vote.,Agent[00],,,"[-0.04362302 -0.00092928 -0.01928828 ... -0.02176071  0.02281064
  0.02999083]"
481,Agent[01] gets my vote.,Agent[01],,,"[-0.04346318  0.00253494 -0.02133557 ... -0.01478474  0.01943798
  0.02336517]"
482,Agent[02] gets my vote.,Agent[02],,,"[-0.03592113  0.0054029  -0.03010891 ... -0.01488255  0.02046555
  0.02824246]"
483,Agent[03] gets my vote.,Agent[03],,,"[-0.03915525  0.00455912 -0.01807291 ... -0.00889743  0.03148448
  0.02976715]"
484,Agent[04] gets my vote.,Agent[04],,,"[-0.03308554  0.01625699 -0.02162155 ... -0.01990685  0.02960715
  0.02603078]"
485,My vote goes to Agent[00].,Agent[00],,,"[-0.00629676 -0.0115381  -0.00219414 ... -0.02978957  0.0317893
  0.0370108 ]"
486,My vote goes to Agent[01].,Agent[01],,,"[-0.00713225 -0.00661732  0.00380898 ... -0.02364999  0.02766713
  0.02809075]"
487,My vote goes to Agent[02].,Agent[02],,,"[-0.00094717 -0.00847873 -0.01543319 ... -0.0263229   0.02972319
  0.03669963]"
488,My vote goes to Agent[03].,Agent[03],,,"[-0.00546991 -0.01492743 -0.00037011 ... -0.02220819  0.04337094
  0.03461909]"
489,My vote goes to Agent[04].,Agent[04],,,"[-0.00100114  0.00179213 -0.00891105 ... -0.03021821  0.04323484
  0.0299296 ]"
490,I believe Agent[00] should be voted out.,Agent[00],,,"[-0.00831357  0.01971061 -0.00508994 ... -0.00231629  0.03803439
 -0.00402769]"
491,I believe Agent[01] should be voted out.,Agent[01],,,"[-0.00884673  0.02152102 -0.00428976 ...  0.00152922  0.03590688
 -0.0077129 ]"
492,I believe Agent[02] should be voted out.,Agent[02],,,"[-0.00439583  0.0232891  -0.01403136 ...  0.00053006  0.03697444
 -0.00329423]"
493,I believe Agent[03] should be voted out.,Agent[03],,,"[-0.00733471  0.02312492 -0.00566419 ...  0.00574931  0.04772529
 -0.00156944]"
494,I believe Agent[04] should be voted out.,Agent[04],,,"[-0.00319475  0.03494289 -0.01191106 ... -0.00090012  0.04617655
 -0.00837585]"
495,My choice is Agent[00].,Agent[00],,,"[-0.03928987 -0.01643117  0.02421352 ... -0.03938439 -0.01216978
  0.0423776 ]"
496,My choice is Agent[01].,Agent[01],,,"[-0.04859328 -0.02411234  0.02627784 ... -0.03231361 -0.00827806
  0.02982558]"
497,My choice is Agent[02].,Agent[02],,,"[-0.03712278 -0.02226445  0.00977239 ... -0.03300485 -0.00332084
  0.03699986]"
498,My choice is Agent[03].,Agent[03],,,"[-0.04057177 -0.02105024  0.02186045 ... -0.0286326   0.0065352
  0.0372392 ]"
499,My choice is Agent[04].,Agent[04],,,"[-0.03470182 -0.00634326  0.01712301 ... -0.03685929  0.00895653
  0.0296424 ]"
500,I will vote Agent[00].,Agent[00],,,"[-0.00888077  0.00643396 -0.00049793 ... -0.02690027  0.0217708
  0.02695923]"
501,I will vote Agent[01].,Agent[01],,,"[-1.53084127e-02  4.53463476e-03  9.26848661e-05 ... -2.11116020e-02
  1.77669059e-02  2.07399689e-02]"
502,I will vote Agent[02].,Agent[02],,,"[ 0.00055905 -0.00290685 -0.01170031 ... -0.02041175  0.02189889
  0.02621452]"
503,I will vote Agent[03].,Agent[03],,,"[-0.00412244 -0.00407851  0.00169785 ... -0.01578684  0.03213016
  0.02592087]"
504,I will vote Agent[04].,Agent[04],,,"[ 0.00312746  0.00791469 -0.00326155 ... -0.02300478  0.0332243
  0.02239596]"
505,I want to vote Agent[00].,Agent[00],,,"[-0.00652171  0.00652542 -0.02776174 ... -0.0178606   0.01478502
  0.0275987 ]"
506,I want to vote Agent[01].,Agent[01],,,"[-0.01295012  0.00458912 -0.02269045 ... -0.01773523  0.01113074
  0.02164024]"
507,I want to vote Agent[02].,Agent[02],,,"[-0.00207852 -0.00064919 -0.04022519 ... -0.01836303  0.01640764
  0.02527306]"
508,I want to vote Agent[03].,Agent[03],,,"[-0.00365066 -0.00024307 -0.03026193 ... -0.01312035  0.02741478
  0.02452361]"
509,I want to vote Agent[04].,Agent[04],,,"[ 0.00101034  0.01124713 -0.03306175 ... -0.02038954  0.02820919
  0.01897177]"
510,Agent[00] should be exiled.,Agent[00],,,"[-0.0440166   0.02063585  0.02579889 ... -0.01002382 -0.00258969
  0.017074  ]"
511,Agent[01] should be exiled.,Agent[01],,,"[-0.04357918  0.0126697   0.02362175 ... -0.00786846 -0.0123916
  0.01194992]"
512,Agent[02] should be exiled.,Agent[02],,,"[-0.03471448  0.01470925  0.01553271 ... -0.00500131 -0.00946171
  0.01771246]"
513,Agent[03] should be exiled.,Agent[03],,,"[-0.0381267   0.01557242  0.02527301 ...  0.00374631  0.00474573
  0.02358385]"
514,Agent[04] should be exiled.,Agent[04],,,"[-0.03268063  0.0261735   0.02061666 ... -0.01123447 -0.00071675
  0.01625978]"
515,I would put in Agent[00].,Agent[00],,,"[-0.0505596  -0.00376559  0.0012542  ... -0.06335139 -0.00367165
  0.03466578]"
516,I would put in Agent[01].,Agent[01],,,"[-0.06384851 -0.00084731  0.00319784 ... -0.05834219 -0.00478709
  0.02378852]"
517,I would put in Agent[02].,Agent[02],,,"[-0.05715966 -0.00163845 -0.00599002 ... -0.06041698 -0.00306744
  0.03316826]"
518,I would put in Agent[03].,Agent[03],,,"[-0.05861281 -0.00053264  0.01358694 ... -0.05328152  0.0084203
  0.03252086]"
519,I would put in Agent[04].,Agent[04],,,"[-0.05255684  0.0144609   0.00312542 ... -0.0630993   0.01084568
  0.02658941]"
520,I would vote Agent[00].,Agent[00],,,"[-0.02929047 -0.0012013  -0.0169975  ... -0.0291938   0.02084811
  0.02350649]"
521,I would vote Agent[01].,Agent[01],,,"[-0.03694069 -0.00109585 -0.01237341 ... -0.02348216  0.01600347
  0.01669045]"
522,I would vote Agent[02].,Agent[02],,,"[-0.02646992 -0.00674386 -0.0296408  ... -0.02438664  0.01861166
  0.02230336]"
523,I would vote Agent[03].,Agent[03],,,"[-0.03164427 -0.00802594 -0.01710874 ... -0.02023334  0.02851967
  0.02073879]"
